user_id,item_id
0,7128
0,6343
0,1267
0,1447
0,8275
0,1859
0,3448
0,8906
0,838
0,4713
0,3144
0,48
0,7036
0,3450
0,21
1,7
1,2447
1,3590
1,2389
1,2114
1,2013
1,556
1,551
1,2128
1,5477
1,6988
1,1512
1,4564
1,7655
1,1070
2,8877
2,4090
2,3006
2,5401
2,2484
2,2819
2,203
2,6369
2,4632
2,5921
2,5918
2,6731
2,8405
2,6336
2,5871
3,2434
3,211
3,1993
3,3800
3,3009
3,6233
3,1546
3,3782
3,1328
3,5111
3,6990
3,5271
3,6479
3,1285
3,2791
4,3059
4,1745
4,1102
4,4237
4,3237
4,4995
4,4882
4,958
4,924
4,8633
4,5556
4,862
4,3375
4,5087
4,359
5,5344
5,375
5,7245
5,5364
5,959
5,2474
5,5913
5,5359
5,7161
5,3572
5,1913
5,8297
5,5778
5,7484
5,6158
6,2272
6,354
6,751
6,6156
6,8933
6,1789
6,1699
6,405
6,3605
6,532
6,8416
6,3097
6,6162
6,4653
6,8424
7,5955
7,5248
7,2940
7,6629
7,6850
7,3861
7,3186
7,7444
7,5243
7,4029
7,4125
7,1522
7,4735
7,3462
7,4951
8,2730
8,1594
8,6699
8,3853
8,1535
8,3537
8,7907
8,8204
8,6900
8,1144
8,2471
8,1750
8,5800
8,2380
8,7928
9,4890
9,5956
9,6870
9,8653
9,6974
9,3958
9,6163
9,7574
9,1042
9,3902
9,1728
9,2497
9,2610
9,3331
9,4516
10,172
10,1058
10,824
10,169
10,2350
10,7866
10,6297
10,7214
10,2395
10,3722
10,8275
10,659
10,8329
10,8386
10,6032
11,5460
11,183
11,8631
11,1815
11,1383
11,667
11,8392
11,2030
11,3678
11,5582
11,3065
11,7272
11,478
11,2220
11,8829
12,2957
12,4034
12,7337
12,5039
12,5039
12,4109
12,6836
12,5241
12,816
12,1963
12,3987
12,1955
12,8611
12,6107
12,2003
13,469
13,510
13,4927
13,5931
13,2309
13,1287
13,1758
13,6986
13,7138
13,363
13,6273
13,2546
13,5057
13,1018
13,4488
14,386
14,479
14,8208
14,2465
14,2580
14,3148
14,7741
14,918
14,5112
14,8512
14,8950
14,392
14,4130
14,3373
14,778
15,824
15,785
15,3889
15,7003
15,6741
15,2980
15,733
15,6088
15,6423
15,8804
15,2109
15,1127
15,7190
15,2019
15,7966
16,4989
16,6100
16,4514
16,98
16,8709
16,1809
16,4207
16,4200
16,4109
16,7227
16,1383
16,2501
16,7256
16,4484
16,851
17,3080
17,806
17,6461
17,7651
17,7900
17,1909
17,4757
17,5057
17,5171
17,2122
17,8580
17,6250
17,1072
17,3961
17,1913
18,8166
18,4581
18,2672
18,2340
18,779
18,784
18,4246
18,5916
18,1256
18,6235
18,2508
18,6575
18,6626
18,668
18,92
19,3990
19,5241
19,2497
19,964
19,6188
19,4615
19,7858
19,3983
19,5567
19,5285
19,6581
19,1485
19,2972
19,6998
19,2387
20,2513
20,6968
20,2616
20,3572
20,439
20,7512
20,4305
20,5064
20,6878
20,4718
20,6993
20,2124
20,3325
20,1427
20,5495
21,886
21,1523
21,4642
21,2323
21,1117
21,1900
21,5899
21,5926
21,6441
21,807
21,2580
21,2659
21,8669
21,1547
21,4092
22,3941
22,5089
22,7395
22,900
22,4708
22,2436
22,688
22,2964
22,2295
22,3274
22,3700
22,6448
22,480
22,6816
22,235
23,730
23,7154
23,1076
23,3737
23,4543
23,1024
23,5085
23,646
23,329
23,4995
23,7392
23,1305
23,2923
23,7952
23,3141
24,278
24,8333
24,1035
24,6031
24,2902
24,265
24,4817
24,4857
24,3485
24,7471
24,4317
24,2462
24,3174
24,6833
24,484
25,4868
25,3323
25,8705
25,7645
25,1917
25,5380
25,924
25,4471
25,4903
25,8297
25,363
25,289
25,1487
25,2792
25,3287
26,5578
26,8629
26,2017
26,5825
26,8025
26,5692
26,2650
26,2028
26,2989
26,3001
26,4512
26,1894
26,3844
26,8197
26,5865
27,3779
27,4188
27,2078
27,3844
27,2034
27,1189
27,1481
27,5262
27,3789
27,6315
27,7512
27,7974
27,6761
27,5961
27,10
28,214
28,2906
28,6440
28,5871
28,2049
28,8002
28,2387
28,3273
28,12
28,3349
28,510
28,510
28,4264
28,268
28,3068
29,485
29,3671
29,5001
29,2382
29,1882
29,5428
29,884
29,32
29,3039
29,3146
29,651
29,7068
29,3258
29,3596
29,2052
30,1803
30,5217
30,6314
30,7656
30,4143
30,1042
30,6373
30,6249
30,7123
30,3166
30,989
30,8777
30,3184
30,7354
30,4531
31,2309
31,1478
31,3532
31,2892
31,5217
31,685
31,7528
